"ts;""comp_amt"";""comp_rgainfinal"";""comp_round"";""num"";""id"";""gr"";""lang"""
"2024-10-25 22:09:33;50000;0;14;334;""ou"";""2"";1"
"2024-10-25 22:55:09;50000;445097;8;335;""SB"";""1"";1"
"2024-10-25 23:09:30;50000;-563543;3;336;""IJ"";""2"";1"
"2024-10-26 10:18:17;200000;5413677;15;337;""HJ"";""1"";1"
"2024-10-26 11:24:10;200000;5641828;14;338;""9i"";""2"";1"
"2024-10-26 14:26:18;200000;5784157;15;339;""KH"";""1"";1"
"2024-10-26 14:39:07;200000;5993974;15;340;""Qz"";""2"";1"
"2024-10-26 18:54:24;50000;796122;9;341;""4i"";""2"";1"
"2024-10-27 18:32:26;100000;1007126;5;342;""E2"";""2"";1"
"2024-12-29 09:41:58;50000;456585;11;343;""aI"";""1"";1"
"2025-02-02 12:59:58;50000;409812;11;344;""Qy"";""2"";1"
"2025-02-03 00:08:04;100000;0;9;345;""s2"";""2"";1"
"2025-02-03 02:18:11;150000;1263919;12;346;""BR"";""2"";1"
"2025-02-03 02:22:34;150000;1116024;12;347;""dw"";""1"";1"
"2025-02-03 02:22:53;150000;1016727;9;348;""xi"";""2"";1"
"2025-02-03 02:28:31;100000;526980;8;349;""FC"";""2"";1"
"2025-02-03 02:37:08;100000;799855;10;350;""Px"";""1"";1"
"2025-02-03 02:48:24;100000;879270;10;351;""QE"";""1"";1"
"2025-02-03 02:48:24;100000;879270;10;352;""QE"";""1"";1"
"2025-02-03 02:54:36;250000;879271;10;353;""QE"";""1"";1"
"2025-02-03 05:16:16;100000;402523;2;354;""x9"";""1"";1"
"2025-02-03 05:54:49;150000;1130697;12;355;""i8"";""1"";1"
"2025-02-03 06:27:37;150000;4895777;15;356;""H4"";""2"";1"
"2025-02-03 06:28:32;100000;996355;9;357;""lM"";""1"";1"
"2025-02-03 07:42:09;100000;626426;6;358;""L9"";""1"";1"
"2025-02-03 07:58:13;100000;198136;4;359;""45"";""2"";1"
"2025-02-03 08:24:59;100000;896578;11;360;""07"";""2"";1"
"2025-02-03 08:43:18;100000;326999;2;361;""du"";""1"";1"
"2025-02-03 09:36:41;100000;683069;3;362;""fY"";""1"";1"
"2025-02-03 15:07:26;100000;735377;3;363;""g4"";""1"";1"
"2025-02-04 00:44:04;100000;490351;8;364;""xA"";""2"";1"
"2025-02-04 03:24:27;100000;832074;11;365;""4J"";""2"";1"
"2025-02-04 04:45:21;150000;4145240;14;366;""Nx"";""2"";1"
"2025-02-04 05:36:32;100000;665371;9;367;""h5"";""1"";1"
"2025-02-04 06:09:24;100000;288624;2;368;""EL"";""2"";1"
"2025-02-04 07:07:55;100000;556743;8;369;""k1"";""1"";1"
"2025-02-04 13:05:06;100000;597763;6;370;""tS"";""2"";1"
"2025-02-04 13:27:10;100000;322019;2;371;""5O"";""1"";1"
"2025-02-04 13:33:50;100000;401194;2;372;""YH"";""2"";1"
"2025-02-05 01:28:25;150000;4434254;15;373;""Wa"";""1"";1"
"2025-02-05 02:59:22;100000;921007;7;374;""Oe"";""1"";1"
"2025-02-05 05:33:09;100000;675635;7;375;""Na"";""2"";1"
"2025-02-07 09:02:11;100000;277309;1;376;""Ad"";""1"";1"
"2025-02-07 16:36:06;150000;3852802;13;377;""0A"";""1"";1"
"2025-02-07 17:49:34;100000;0;4;378;""5p"";""2"";1"
"2025-02-07 18:17:48;100000;0;6;379;""Rc"";""1"";1"
"2025-02-07 18:20:50;100000;915563;11;380;""mu"";""1"";1"
"2025-02-07 18:25:08;100000;0;11;381;""k7"";""2"";1"
"2025-02-07 18:46:56;100000;926559;11;382;""gz"";""2"";1"
"2025-02-07 19:14:49;100000;0;6;383;""BC"";""1"";1"
"2025-02-07 19:20:32;100000;0;5;384;""Ye"";""2"";1"
"2025-02-07 19:29:18;150000;4337470;13;385;""1D"";""1"";1"
"2025-02-07 20:03:48;100000;0;1;386;""5d"";""2"";1"
"2025-02-08 06:01:34;250000;5513860;14;387;""Yf"";""2"";1"
"2025-02-08 12:11:55;100000;392153;2;388;""hR"";""2"";1"
"2025-02-08 13:52:01;150000;4899448;15;389;""9u"";""1"";1"
"2025-02-09 06:23:38;100000;0;3;390;""2i"";""2"";1"
"2025-02-09 07:51:40;100000;0;9;391;""iG"";""2"";1"
"2025-02-09 07:58:23;150000;4020082;14;392;""eH"";""1"";1"
"2025-02-09 15:31:34;150000;1745507;12;393;""Dy"";""1"";1"
"2025-02-09 15:47:59;100000;856772;11;394;""Da"";""2"";1"
"2025-02-09 16:11:23;100000;0;3;395;""6X"";""1"";1"
"2025-02-10 01:06:59;100000;0;3;396;""Hi"";""2"";1"
"2025-02-10 02:41:57;150000;2557753;13;397;""Av"";""1"";1"
"2025-02-10 07:26:57;100000;455364;6;398;""gs"";""2"";1"
"2025-02-10 08:01:01;100000;0;12;399;""R5"";""2"";1"
"2025-02-10 09:21:46;100000;888934;11;400;""0h"";""1"";1"
"2025-02-10 09:32:48;100000;957313;4;401;""L3"";""2"";1"
"2025-02-10 14:05:43;100000;0;11;402;""l1"";""2"";1"
"2025-02-11 04:05:22;100000;668314;7;403;""WK"";""1"";1"
"2025-02-11 06:50:14;100000;0;8;404;""qR"";""2"";1"
"2025-02-11 07:33:11;150000;4946525;14;405;""ib"";""2"";1"
"2025-02-11 07:45:44;100000;556636;8;406;""KD"";""1"";1"
"2025-02-11 08:09:34;250000;5155556;14;407;""9z"";""1"";1"
"2025-02-11 08:37:40;100000;0;4;408;""bf"";""2"";1"
"2025-02-11 10:47:56;100000;626866;3;409;""DJ"";""1"";1"
"2025-02-11 13:51:48;100000;0;2;410;""3F"";""2"";1"
"2025-02-11 15:54:09;150000;3939214;13;411;""qB"";""1"";1"
"2025-02-11 16:02:48;100000;0;2;412;""LE"";""2"";1"
"2025-02-11 16:29:00;100000;0;1;413;""d8"";""1"";1"
"2025-02-11 16:44:35;100000;0;8;414;""N1"";""2"";1"
"2025-02-11 17:04:57;100000;0;5;415;""n9"";""1"";1"
"2025-02-11 17:28:20;100000;0;6;416;""5i"";""2"";1"
"2025-02-11 17:45:29;100000;0;8;417;""xs"";""1"";1"
"2025-02-12 06:22:36;100000;352523;2;418;""If"";""2"";1"
"2025-02-12 06:46:02;100000;872757;4;419;""HD"";""1"";1"
"2025-02-12 08:19:33;100000;845666;9;420;""Gh"";""1"";1"
"2025-02-12 08:27:12;100000;0;5;421;""rA"";""2"";1"
"2025-02-12 08:35:37;100000;540841;8;422;""Ns"";""1"";1"
"2025-02-12 09:04:14;100000;667463;5;423;""iy"";""1"";1"
"2025-02-12 09:09:14;100000;757792;10;424;""Q9"";""2"";1"
"2025-02-12 11:14:07;150000;3523866;15;425;""Xb"";""2"";1"
"2025-02-12 11:46:40;150000;2090004;13;426;""Js"";""1"";1"
"2025-02-12 12:15:18;100000;0;11;427;""et"";""1"";1"
"2025-02-12 12:34:05;100000;0;14;428;""ZQ"";""2"";1"
"2025-02-12 12:58:00;250000;5459367;15;429;""Vm"";""1"";1"
"2025-02-12 13:12:03;100000;0;15;430;""6G"";""2"";1"
"2025-02-12 13:38:03;100000;0;8;431;""a4"";""1"";1"
"2025-02-12 13:49:26;100000;969509;4;432;""4O"";""2"";1"
"2025-02-12 13:57:21;250000;5057812;14;433;""i7"";""2"";1"
"2025-02-12 14:07:41;150000;4043060;15;434;""oZ"";""2"";1"
"2025-02-12 14:13:07;100000;0;4;435;""KY"";""1"";1"
"2025-02-12 14:21:35;100000;325132;2;436;""5z"";""2"";1"
"2025-02-12 14:32:42;100000;728841;5;437;""Zb"";""1"";1"
"2025-02-12 14:41:14;150000;4477881;14;438;""q3"";""1"";1"
"2025-02-12 14:42:07;150000;4668262;15;439;""RW"";""2"";1"
"2025-02-12 14:44:20;100000;635396;7;440;""JW"";""1"";1"
"2025-02-12 14:56:25;150000;2998045;13;441;""1w"";""1"";1"
"2025-02-12 15:19:30;100000;693858;3;442;""Pn"";""1"";1"
"2025-02-12 15:57:22;250000;5503676;14;443;""EA"";""2"";1"
"2025-02-12 16:24:13;100000;822060;10;444;""M5"";""1"";1"
"2025-02-12 16:43:56;100000;0;10;445;""JF"";""2"";1"
"2025-02-12 18:09:01;150000;4842575;15;446;""c3"";""2"";1"
"2025-02-12 18:11:27;100000;0;9;447;""Wy"";""1"";1"
"2025-02-12 18:24:36;100000;0;11;448;""rK"";""1"";1"
"2025-02-12 18:27:49;150000;4172988;13;449;""UQ"";""2"";1"
"2025-02-12 18:49:41;100000;0;1;450;""ZT"";""1"";1"
"2025-02-12 19:07:51;100000;0;8;451;""0f"";""1"";1"
"2025-02-12 19:09:53;100000;0;5;452;""w5"";""2"";1"
"2025-02-12 19:18:31;100000;0;8;453;""hX"";""2"";1"
"2025-02-12 19:22:30;100000;0;13;454;""st"";""1"";1"
"2025-02-12 19:48:58;100000;0;11;455;""tE"";""2"";1"
"2025-02-12 19:50:27;100000;0;5;456;""tI"";""1"";1"
"2025-02-12 22:10:01;100000;0;2;457;""fI"";""2"";1"
"2025-02-12 22:15:15;100000;0;2;458;""Rr"";""1"";1"
"2025-02-12 22:32:04;100000;0;1;459;""XY"";""1"";1"
"2025-02-12 22:38:45;100000;0;4;460;""XH"";""2"";1"
"2025-02-12 22:49:28;100000;868517;11;461;""a1"";""1"";1"
"2025-02-13 03:26:38;150000;1101147;9;462;""FA"";""1"";1"
"2025-02-13 03:33:19;150000;4700684;15;463;""um"";""2"";1"
"2025-02-13 07:05:14;100000;0;7;464;""p6"";""2"";1"
"2025-02-13 07:26:29;150000;2668420;13;465;""jO"";""1"";1"
"2025-02-13 07:28:54;100000;0;7;466;""Ur"";""2"";1"
"2025-02-13 07:46:10;100000;0;4;467;""9M"";""1"";1"
"2025-02-13 08:12:45;100000;0;4;468;""hH"";""2"";1"
"2025-02-13 10:41:23;100000;758023;9;469;""5W"";""1"";1"
"2025-02-13 11:24:31;150000;2921549;13;470;""sG"";""1"";1"
"2025-02-13 11:50:36;100000;539234;8;471;""bS"";""2"";1"
