"ts;""counter"";""num"";""id"";""gr"";""lang"";""au"""
"2024-10-20 15:41:46;1;1381;""wS"";""2"";1;0"
"2024-10-21 12:21:41;1;1382;""Xp"";""1"";1;0"
"2024-10-21 12:21:46;1;1383;""pZ"";""2"";1;1"
"2024-10-22 03:06:28;1;1384;""Ei"";""1"";1;1"
"2024-10-23 04:17:01;1;1385;""SK"";""2"";1;0"
"2024-10-23 04:43:22;1;1386;""FR"";""1"";1;0"
"2024-10-23 04:45:32;1;1387;""er"";""2"";1;1"
"2024-10-23 06:40:50;1;1388;""MT"";""1"";1;1"
"2024-10-23 06:53:56;1;1389;""sq"";""2"";1;0"
"2024-10-23 11:11:03;1;1390;""lX"";""1"";1;0"
"2024-10-23 11:41:10;1;1391;""C2"";""2"";1;1"
"2024-10-23 12:00:17;1;1392;""il"";""1"";1;1"
"2024-10-23 12:50:48;1;1393;""oL"";""2"";1;0"
"2024-10-23 13:13:04;1;1394;""CA"";""1"";1;0"
"2024-10-23 13:32:47;1;1395;""3w"";""2"";1;1"
"2024-10-23 14:31:33;1;1396;""uA"";""1"";1;1"
"2024-10-23 15:25:40;1;1397;""IO"";""2"";1;0"
"2024-10-23 15:31:54;1;1398;""xQ"";""1"";1;0"
"2024-10-23 15:39:47;1;1399;""QY"";""2"";1;1"
"2024-10-23 15:42:44;1;1400;""mT"";""1"";1;1"
"2024-10-23 15:56:25;1;1401;""e5"";""2"";1;0"
"2024-10-23 15:58:48;1;1402;""l2"";""1"";1;0"
"2024-10-23 16:13:39;1;1403;""1e"";""2"";1;1"
"2024-10-23 16:19:36;1;1404;""iU"";""1"";1;1"
"2024-10-23 16:21:04;1;1405;""fv"";""2"";1;0"
"2024-10-23 17:18:41;1;1406;""WR"";""1"";1;0"
"2024-10-24 04:40:45;1;1407;""yN"";""2"";1;1"
"2024-10-24 10:21:52;1;1408;""NF"";""1"";1;1"
"2024-10-24 10:46:28;1;1409;""dt"";""2"";1;0"
"2024-10-24 11:27:57;1;1410;""MY"";""1"";1;0"
"2024-10-24 14:02:11;1;1411;""JZ"";""2"";1;1"
"2024-10-24 14:04:47;1;1412;""5Q"";""1"";1;1"
"2024-10-24 14:16:26;1;1413;""zX"";""2"";1;0"
"2024-10-24 14:27:00;1;1414;""jt"";""1"";1;0"
"2024-10-24 14:27:09;1;1415;""0i"";""2"";1;1"
"2024-10-24 14:27:54;1;1416;""1C"";""1"";1;1"
"2024-10-24 14:39:49;1;1417;""sB"";""2"";1;0"
"2024-10-24 14:42:07;1;1418;""WJ"";""1"";1;0"
"2024-10-24 15:05:08;1;1419;""pz"";""2"";1;1"
"2024-10-24 15:06:55;1;1420;""Tc"";""1"";1;1"
"2024-10-25 02:01:33;1;1421;""wr"";""2"";1;0"
"2024-10-25 05:01:49;1;1422;""lx"";""1"";1;0"
"2024-10-25 08:05:19;1;1423;""kL"";""2"";1;1"
"2024-10-25 10:28:21;1;1424;""Us"";""1"";1;1"
"2024-10-25 10:30:33;1;1425;""j2"";""2"";0;0"
"2024-10-25 10:30:50;1;1426;""Pr"";""2"";1;1"
"2024-10-25 16:42:15;1;1427;""IZ"";""1"";1;0"
"2024-10-25 16:44:10;1;1428;""SY"";""2"";1;0"
"2024-10-25 16:44:21;1;1429;""aY"";""1"";1;1"
"2024-10-25 18:00:07;1;1430;""kH"";""2"";1;1"
"2024-10-25 18:00:17;1;1431;""N0"";""1"";1;0"
"2024-10-25 20:59:26;1;1432;""ou"";""2"";1;0"
"2024-10-25 22:17:19;1;1433;""SB"";""1"";1;1"
"2024-10-25 22:24:28;1;1434;""IJ"";""2"";1;1"
"2024-10-26 10:08:30;1;1435;""HJ"";""1"";1;0"
"2024-10-26 11:13:28;1;1436;""9i"";""2"";1;0"
"2024-10-26 14:16:05;1;1437;""KH"";""1"";1;1"
"2024-10-26 14:30:54;1;1438;""Qz"";""2"";1;1"
"2024-10-26 17:43:48;1;1439;""uH"";""1"";1;0"
"2024-10-26 17:43:55;1;1440;""4i"";""2"";1;0"
"2024-10-27 11:56:01;1;1441;""sM"";""1"";1;1"
"2024-10-27 17:24:19;1;1442;""E2"";""2"";1;1"
"2024-11-14 09:07:35;1;1443;""rm"";""1"";1;0"
"2024-11-14 09:51:37;1;1444;""vH"";""2"";1;0"
"2024-11-14 10:30:18;1;1445;""Jl"";""1"";1;1"
"2024-11-14 10:30:19;1;1446;""b9"";""2"";1;1"
"2024-11-14 10:30:31;1;1447;""Ui"";""1"";1;0"
"2024-11-14 10:56:10;1;1448;""f4"";""2"";1;0"
"2024-11-14 11:00:11;1;1449;""0S"";""1"";1;1"
"2024-11-14 11:02:33;1;1450;""4g"";""2"";1;1"
"2024-11-14 11:07:31;1;1451;""v2"";""1"";1;0"
"2024-11-14 11:07:57;1;1452;""dn"";""2"";1;0"
"2024-11-14 11:13:03;1;1453;""LL"";""1"";1;1"
"2024-11-14 11:19:53;1;1454;""eC"";""2"";1;1"
"2024-11-14 11:25:13;1;1455;""BV"";""1"";1;0"
"2024-11-14 11:27:27;1;1456;""4P"";""2"";1;0"
"2024-11-14 11:28:32;1;1457;""zY"";""1"";1;1"
"2024-11-14 11:40:47;1;1458;""2t"";""2"";1;1"
"2024-11-14 11:54:17;1;1459;""1H"";""1"";1;0"
"2024-11-14 12:09:48;1;1460;""nq"";""2"";1;0"
"2024-11-14 12:11:46;1;1461;""8T"";""1"";1;1"
"2024-11-14 12:22:22;1;1462;""dV"";""2"";1;1"
"2024-11-14 12:26:23;1;1463;""Gg"";""1"";1;0"
"2024-11-14 12:37:12;1;1464;""Io"";""2"";1;0"
"2024-11-14 12:41:32;1;1465;""PI"";""1"";1;1"
"2024-11-14 12:44:21;1;1466;""UF"";""2"";1;1"
"2024-11-14 12:50:30;1;1467;""Wv"";""1"";1;0"
"2024-11-14 12:50:49;1;1468;""EF"";""2"";1;0"
"2024-11-14 12:58:26;1;1469;""yD"";""1"";1;1"
"2024-11-14 13:04:49;1;1470;""gG"";""2"";1;1"
"2024-11-14 13:14:02;1;1471;""9D"";""1"";1;0"
"2024-11-14 13:14:43;1;1472;""1Y"";""2"";1;0"
"2024-11-14 13:15:38;1;1473;""3H"";""1"";1;1"
"2024-11-14 13:20:46;1;1474;""sd"";""2"";1;1"
"2024-11-14 13:21:07;1;1475;""Kp"";""1"";1;0"
"2024-11-14 13:21:20;1;1476;""Z5"";""2"";1;0"
"2024-11-14 13:38:45;1;1477;""ZW"";""1"";1;1"
"2024-11-14 13:40:16;1;1478;""l2"";""2"";1;1"
"2024-11-14 13:40:25;1;1479;""1V"";""1"";1;0"
"2024-11-14 13:49:04;1;1480;""Og"";""2"";1;0"
"2024-11-14 13:49:21;1;1481;""zK"";""1"";1;1"
"2024-11-14 13:49:36;1;1482;""sU"";""2"";1;1"
"2024-11-14 13:50:12;1;1483;""vw"";""1"";1;0"
"2024-11-14 13:52:01;1;1484;""oO"";""2"";1;0"
"2024-11-14 13:52:31;1;1485;""Kg"";""1"";1;1"
"2024-11-14 13:52:31;1;1486;""AA"";""2"";1;1"
"2024-11-14 13:55:26;1;1487;""Nt"";""1"";1;0"
