"gr;""id"";""lang"";""ts"";""round"";""trx"";""sec"";""pos"";""activity"";""price"";""crypto"";""fiat"";""crypto_prev"";""fiat_prev"";""sell"";""buy"";""buy_prev"";""t_gain"";""t_tax"";""t_gain_net"";""r_gain"";""r_gain_prev"";""r_tax"";""r_tax_prev"";""r_gain_net"";""tax_disclos"";""tax_discre"";""audit"";""penalty"";""r_gain_final"";""num"""
"2;""oI"";1;""2024-10-08 01:49:53"";4;2;33;""s"";""buying"";969380;1.12;0;0.0;1089509;0;969380;969380;0;0;0;1089509;1089509;217901;217901;871608;0;217901;0;0;1089509;89"
"1;""sD"";1;""2024-10-08 02:18:06"";3;5;35;""b"";""selling"";788491;0.0;764836;0.97;0;788491;820517;820517;-32026;0;-32026;767416;799442;153483;159888;613933;100000;53483;1;106966;506967;90"
"1;""0P"";1;""2024-10-08 06:34:15"";0;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91"
"2;""oI"";1;""2024-10-08 01:50:01"";4;3;25;""b"";""selling"";991184;0.0;1110126;1.12;0;991184;969380;969380;21804;4360;17444;1111313;1089509;222262;217901;889051;0;222262;0;0;1111313;92"
"1;""sD"";1;""2024-10-08 02:18:06"";3;5;35;""b"";""selling"";788491;0.0;764836;0.97;0;788491;820517;820517;-32026;0;-32026;767416;799442;153483;159888;613933;0;153483;0;0;767416;93"
"1;""0P"";1;""2024-10-08 07:29:26"";0;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94"
"1;""sD"";1;""2024-10-08 02:19:04"";4;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95"
"1;""0P"";1;""2024-10-08 07:30:09"";0;1;35;""b"";""selling"";1015996;0.0;1015996;1.0;0;1015996;0;0;1015996;203199;812797;1015996;0;203199;0;812797;0;203199;0;0;1015996;96"
"2;""oI"";1;""2024-10-08 01:50:03"";4;4;23;""s"";""buying"";947768;1.17;0;0.0;1110126;0;947768;947768;0;0;0;1111313;1111313;222262;222262;889051;0;222262;0;0;1111313;97"
"1;""sD"";1;""2024-10-08 02:19:07"";4;1;38;""b"";""selling"";1181599;0.0;1181599;1.0;0;1181599;0;0;1181599;236319;945280;1181599;0;236319;0;945280;0;236319;0;0;1181599;98"
"1;""0P"";1;""2024-10-08 07:30:13"";0;2;31;""s"";""buying"";975442;1.04;0;0.0;1015996;0;975442;975442;0;0;0;1015996;1015996;203199;203199;812797;0;203199;0;0;1015996;99"
"2;""oI"";1;""2024-10-08 01:50:09"";4;5;17;""b"";""selling"";1051817;0.0;1230626;1.17;0;1051817;947768;947768;104049;20809;83240;1215362;1111313;243072;222262;972290;243072;0;0;0;972290;100"
"1;""sD"";1;""2024-10-08 02:19:10"";4;2;35;""s"";""buying"";1089509;1.08;0;0.0;1181599;0;1089509;1089509;0;0;0;1181599;1181599;236319;236319;945280;0;236319;0;0;1181599;101"
"1;""0P"";1;""2024-10-08 07:30:42"";0;3;7;""b"";""selling"";1026642;0.0;1067708;1.04;0;1026642;975442;975442;51200;10240;40960;1067196;1015996;213439;203199;853757;50006;163433;0;0;1017190;102"
"1;""DT"";1;""2024-10-08 01:50:22"";6;1;0;""b"";""selling"";727680;0.0;727680;1.0;0;727680;0;0;727680;145536;582144;727680;0;145536;0;582144;0;145536;0;0;727680;103"
"1;""sD"";1;""2024-10-08 02:19:13"";4;3;32;""b"";""selling"";1066648;0.0;1151980;1.08;0;1066648;1089509;1089509;-22861;0;-22861;1158738;1181599;231747;236319;926991;0;231747;0;0;1158738;104"
"1;""0P"";1;""2024-10-08 07:31:23"";1;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105"
"1;""DT"";1;""2024-10-08 01:50:33"";7;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106"
"1;""sD"";1;""2024-10-08 02:19:18"";4;4;26;""s"";""buying"";990077;1.16;0;0.0;1151980;0;990077;990077;0;0;0;1158738;1158738;231747;231747;926991;0;231747;0;0;1158738;107"
"1;""0P"";1;""2024-10-08 07:31:29"";1;1;36;""b"";""selling"";363068;0.0;363068;1.0;0;363068;0;0;363068;72613;290455;363068;0;72613;0;290455;0;72613;0;0;363068;108"
"2;""oI"";1;""2024-10-08 01:50:38"";5;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109"
"1;""sD"";1;""2024-10-08 02:19:26"";4;5;19;""b"";""selling"";1008563;0.0;1169933;1.16;0;1008563;990077;990077;18486;3697;14789;1177224;1158738;235444;231747;941780;235444;0;0;0;941780;110"
"1;""0P"";1;""2024-10-08 07:31:38"";1;2;28;""s"";""buying"";358512;1.01;0;0.0;363068;0;358512;358512;0;0;0;363068;363068;72613;72613;290455;0;72613;0;0;363068;111"
"1;""DT"";1;""2024-10-08 01:50:40"";7;1;34;""b"";""selling"";819249;0.0;819249;1.0;0;819249;0;0;819249;163849;655400;819249;0;163849;0;655400;0;163849;0;0;819249;112"
"2;""oI"";1;""2024-10-08 01:53:23"";8;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113"
"1;""sD"";1;""2024-10-08 02:19:58"";5;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114"
"1;""0P"";1;""2024-10-08 07:32:03"";1;3;6;""b"";""selling"";365353;0.0;369007;1.01;0;365353;358512;358512;6841;1368;5473;369909;363068;73981;72613;295928;15780;58201;0;0;354129;115"
"2;""oI"";1;""2024-10-08 01:50:44"";5;1;35;""b"";""selling"";1036055;0.0;1036055;1.0;0;1036055;0;0;1036055;207211;828844;1036055;0;207211;0;828844;0;207211;0;0;1036055;116"
"1;""sD"";1;""2024-10-08 02:20:01"";5;1;38;""b"";""selling"";1011598;0.0;1011598;1.0;0;1011598;0;0;1011598;202319;809279;1011598;0;202319;0;809279;0;202319;0;0;1011598;117"
"2;""oI"";1;""2024-10-08 01:53:37"";8;1;27;""b"";""selling"";523844;0.0;523844;1.0;0;523844;0;0;523844;104768;419076;523844;0;104768;0;419076;0;104768;0;0;523844;118"
"1;""sD"";1;""2024-10-08 02:20:05"";5;2;34;""s"";""buying"";1035805;0.98;0;0.0;1011598;0;1035805;1035805;0;0;0;1011598;1011598;202319;202319;809279;0;202319;0;0;1011598;119"
